ts,open,high,low,close,volume
1780000000000,3000.0,3003.0,2997.0,3000.0,329.26
1780000900000,3018.84,3023.08,3015.82,3018.84,192.94
1780001800000,3029.31,3035.99,3023.4,3029.31,202.92
1780002700000,3022.15,3025.17,3017.99,3022.15,398.67
1780003600000,3025.5,3028.53,3022.48,3025.5,352.46
1780004500000,3028.37,3031.4,3025.34,3028.37,88.11
1780005400000,3030.13,3033.16,3025.34,3030.13,216.89
1780006300000,3039.95,3045.12,3035.38,3039.95,90.81
1780007200000,3029.85,3032.88,3026.58,3029.85,116.31
1780008100000,3022.52,3025.83,3019.5,3022.52,103.68
1780009000000,3032.17,3039.83,3024.12,3032.17,377.33
1780009900000,3034.03,3041.11,3024.35,3034.03,302.15
1780010800000,3038.03,3041.07,3034.49,3038.03,333.41
1780011700000,3046.0,3049.05,3041.48,3046.0,358.3
1780012600000,3063.29,3071.75,3060.23,3063.29,144.47
1780013500000,3057.63,3063.67,3054.57,3057.63,202.68
1780014400000,3057.63,3063.08,3054.55,3057.63,122.97
1780015300000,3046.22,3053.0,3043.17,3046.22,266.04
1780016200000,3051.37,3055.21,3042.45,3051.37,393.87
1780017100000,3048.24,3051.29,3045.19,3048.24,326.63
1780018000000,3057.12,3060.51,3054.06,3057.12,285.73
1780018900000,3040.88,3043.93,3033.27,3040.88,367.88
1780019800000,3054.84,3059.05,3050.21,3054.84,292.81
1780020700000,3066.49,3069.56,3063.43,3066.49,86.53
1780021600000,3057.25,3060.3,3050.91,3057.25,104.79
1780022500000,3077.21,3083.46,3067.78,3077.21,208.19
1780023400000,3084.3,3087.39,3080.76,3084.3,193.57
1780024300000,3094.93,3098.03,3091.84,3094.93,372.11
1780025200000,3098.37,3103.1,3091.32,3098.37,197.83
1780026100000,3098.97,3102.07,3094.94,3098.97,377.1
1780027000000,3096.7,3103.71,3093.6,3096.7,312.74
1780027900000,3087.61,3096.66,3084.21,3087.61,240.21
1780028800000,3104.76,3108.83,3101.65,3104.76,247.18
1780029700000,3105.81,3111.22,3099.87,3105.81,251.73
1780030600000,3103.42,3107.65,3096.35,3103.42,130.1
1780031500000,3099.35,3103.27,3096.25,3099.35,134.89
1780032400000,3107.29,3110.78,3104.18,3107.29,104.83
1780033300000,3095.39,3098.49,3090.0,3095.39,386.04
1780034200000,3102.47,3105.57,3099.37,3102.47,390.51
1780035100000,3077.08,3080.16,3066.89,3077.08,221.18
1780036000000,3086.98,3090.07,3083.9,3086.98,127.82
1780036900000,3077.56,3080.64,3074.49,3077.56,204.87
1780037800000,3088.44,3091.52,3083.47,3088.44,53.4
1780038700000,3103.59,3106.69,3097.7,3103.59,253.32
1780039600000,3106.66,3112.72,3103.55,3106.66,160.71
1780040500000,3090.23,3093.32,3087.14,3090.23,294.7
1780041400000,3085.23,3088.32,3082.15,3085.23,100.23
1780042300000,3097.79,3105.45,3094.69,3097.79,66.99
1780043200000,3086.42,3094.83,3083.34,3086.42,283.8
1780044100000,3092.86,3095.96,3089.77,3092.86,189.96
1780045000000,3100.52,3103.62,3092.16,3100.52,205.07
1780045900000,3096.49,3099.59,3093.4,3096.49,384.04
1780046800000,3107.23,3110.34,3103.16,3107.23,202.28
1780047700000,3099.09,3105.92,3087.49,3099.09,235.39
1780048600000,3105.14,3110.86,3100.64,3105.14,289.37
1780049500000,3110.73,3115.01,3107.62,3110.73,357.55
1780050400000,3096.36,3100.11,3093.26,3096.36,125.84
1780051300000,3104.48,3110.13,3101.38,3104.48,121.45
1780052200000,3119.34,3125.39,3116.13,3119.34,379.94
1780053100000,3072.72,3075.79,3064.45,3072.72,352.76
1780054000000,3093.75,3096.84,3088.52,3093.75,356.18
1780054900000,3092.82,3095.91,3089.72,3092.82,77.09
1780055800000,3091.07,3094.21,3081.97,3091.07,139.48
1780056700000,3100.07,3103.17,3090.38,3100.07,310.97
1780057600000,3101.32,3104.42,3098.21,3101.32,96.42
1780058500000,3094.54,3097.64,3091.45,3094.54,153.35
1780059400000,3087.68,3090.76,3077.76,3087.68,239.75
1780060300000,3071.13,3080.67,3068.06,3071.13,341.48
1780061200000,3055.12,3058.17,3052.06,3055.12,186.66
1780062100000,3073.25,3079.66,3070.17,3073.25,311.73
1780063000000,3077.07,3083.86,3072.64,3077.07,154.03
1780063900000,3079.83,3083.97,3076.75,3079.83,380.94
1780064800000,3083.98,3090.57,3073.54,3083.98,313.19
1780065700000,3076.73,3081.05,3069.32,3076.73,94.42
1780066600000,3076.0,3081.24,3072.41,3076.0,90.31
1780067500000,3075.61,3079.66,3072.53,3075.61,96.97
1780068400000,3092.07,3099.4,3087.96,3092.07,300.58
1780069300000,3090.63,3096.61,3087.54,3090.63,78.07
1780070200000,3083.14,3086.23,3080.06,3083.14,248.3
1780071100000,3094.93,3098.35,3091.84,3094.93,107.35
1780072000000,3110.37,3116.61,3104.26,3110.37,201.16
1780072900000,3113.21,3116.33,3105.6,3113.21,395.46
1780073800000,3132.5,3135.63,3126.71,3132.5,62.97
1780074700000,3129.02,3133.01,3125.89,3129.02,155.85
1780075600000,3136.79,3139.92,3130.01,3136.79,268.73
1780076500000,3147.72,3153.67,3144.57,3147.72,213.85
1780077400000,3149.54,3152.69,3143.65,3149.54,359.53
1780078300000,3163.6,3166.77,3158.09,3163.6,145.89
1780079200000,3159.36,3164.05,3156.2,3159.36,113.46
1780080100000,3172.22,3178.18,3166.6,3172.22,146.83
1780081000000,3168.11,3171.28,3160.54,3168.11,361.63
1780081900000,3179.52,3190.77,3172.7,3179.52,278.9
1780082800000,3154.81,3163.15,3147.67,3154.81,203.6
1780083700000,3172.34,3178.66,3169.17,3172.34,77.21
1780084600000,3178.97,3182.15,3175.79,3178.97,117.42
1780085500000,3156.01,3159.17,3152.85,3156.01,311.3
1780086400000,3139.56,3142.7,3136.42,3139.56,377.58
