ts,open,high,low,close,volume
1780000000000,2300.0,2302.3,2297.7,2300.0,248.74
1780000900000,2308.27,2310.58,2300.4,2308.27,93.3
1780001800000,2313.42,2315.73,2309.37,2313.42,328.94
1780002700000,2300.3,2307.57,2298.0,2300.3,106.84
1780003600000,2301.03,2303.67,2298.68,2301.03,133.81
1780004500000,2304.69,2308.5,2302.38,2304.69,237.58
1780005400000,2309.7,2312.01,2307.39,2309.7,201.87
1780006300000,2304.25,2306.56,2301.49,2304.25,370.0
1780007200000,2305.85,2308.16,2302.94,2305.85,396.53
1780008100000,2304.75,2307.05,2301.16,2304.75,106.14
1780009000000,2305.34,2308.4,2302.9,2305.34,216.9
1780009900000,2326.01,2328.93,2323.68,2326.01,293.92
1780010800000,2323.61,2325.93,2316.26,2323.61,147.27
1780011700000,2326.97,2329.29,2324.12,2326.97,225.34
1780012600000,2309.28,2311.59,2306.97,2309.28,373.22
1780013500000,2322.39,2326.05,2320.07,2322.39,326.3
1780014400000,2315.89,2318.2,2313.57,2315.89,386.07
1780015300000,2311.36,2313.68,2307.26,2311.36,250.59
1780016200000,2311.4,2313.99,2304.66,2311.4,347.65
1780017100000,2312.31,2315.24,2310.0,2312.31,299.04
1780018000000,2323.87,2328.03,2321.55,2323.87,343.43
1780018900000,2305.62,2307.93,2303.32,2305.62,214.29
1780019800000,2311.81,2314.12,2306.56,2311.81,84.15
1780020700000,2317.59,2325.4,2315.27,2317.59,113.8
1780021600000,2324.21,2326.54,2321.89,2324.21,181.97
1780022500000,2330.92,2333.41,2328.59,2330.92,190.56
1780023400000,2319.33,2322.15,2317.01,2319.33,282.15
1780024300000,2314.74,2317.05,2309.42,2314.74,160.63
1780025200000,2320.58,2322.9,2317.69,2320.58,228.28
1780026100000,2324.98,2327.31,2322.66,2324.98,379.66
1780027000000,2322.32,2326.68,2315.8,2322.32,292.18
1780027900000,2333.66,2336.0,2331.33,2333.66,73.36
1780028800000,2340.5,2342.84,2338.01,2340.5,296.61
1780029700000,2336.95,2339.28,2334.61,2336.95,89.37
1780030600000,2358.15,2362.7,2355.79,2358.15,246.0
1780031500000,2359.14,2363.69,2356.78,2359.14,382.7
1780032400000,2353.04,2355.4,2350.69,2353.04,354.8
1780033300000,2350.4,2352.75,2347.83,2350.4,369.99
1780034200000,2369.92,2373.29,2367.55,2369.92,57.44
1780035100000,2375.83,2378.21,2371.93,2375.83,256.01
1780036000000,2368.13,2372.69,2365.76,2368.13,108.32
1780036900000,2358.45,2361.14,2348.88,2358.45,238.36
1780037800000,2361.11,2363.47,2356.97,2361.11,276.95
1780038700000,2370.13,2372.5,2367.76,2370.13,201.55
1780039600000,2378.24,2383.41,2375.86,2378.24,387.64
1780040500000,2389.15,2391.54,2386.76,2389.15,292.17
1780041400000,2380.34,2387.49,2377.96,2380.34,170.47
1780042300000,2364.63,2367.0,2362.27,2364.63,189.58
1780043200000,2352.83,2355.18,2347.44,2352.83,178.72
1780044100000,2340.29,2342.63,2334.74,2340.29,236.46
1780045000000,2329.52,2332.29,2327.19,2329.52,212.25
1780045900000,2331.2,2333.53,2328.87,2331.2,181.87
1780046800000,2331.09,2333.42,2328.75,2331.09,86.05
1780047700000,2321.19,2324.66,2318.86,2321.19,160.37
1780048600000,2318.91,2321.22,2316.59,2318.91,291.76
1780049500000,2321.79,2324.11,2319.46,2321.79,115.61
1780050400000,2321.16,2323.48,2316.96,2321.16,259.09
1780051300000,2317.12,2319.44,2314.8,2317.12,295.71
1780052200000,2316.98,2321.77,2313.75,2316.98,71.54
1780053100000,2314.82,2321.63,2312.51,2314.82,348.28
1780054000000,2297.69,2300.94,2295.38,2297.69,208.07
1780054900000,2302.39,2304.81,2298.99,2302.39,353.94
1780055800000,2317.56,2319.88,2314.1,2317.56,374.19
1780056700000,2306.98,2310.6,2304.67,2306.98,289.18
1780057600000,2304.13,2306.57,2301.82,2304.13,336.26
1780058500000,2309.44,2311.75,2303.42,2309.44,325.72
1780059400000,2318.14,2320.46,2315.71,2318.14,331.05
1780060300000,2315.55,2322.54,2313.24,2315.55,343.01
1780061200000,2318.39,2320.71,2313.69,2318.39,356.59
1780062100000,2318.65,2320.97,2314.87,2318.65,162.94
1780063000000,2329.84,2337.12,2326.91,2329.84,221.62
1780063900000,2323.79,2328.86,2321.46,2323.79,397.68
1780064800000,2316.44,2324.14,2314.13,2316.44,394.63
1780065700000,2322.42,2330.09,2320.1,2322.42,269.36
