ts,open,high,low,close,volume
1785376800000,64266.01,64390.13,64237.63,64330.32,138.87235
1785377700000,64330.31,64411.76,64301.91,64354.01,177.71168
1785378600000,64354.01,64354.01,64218.0,64320.0,84.90417
1785379500000,64320.0,64320.0,64159.63,64189.99,173.6852
1785380400000,64190.0,64268.0,64133.99,64200.0,137.83228
1785381300000,64200.0,64300.91,64190.53,64267.98,126.63356
1785382200000,64267.99,64267.99,64140.5,64160.0,84.1516
1785383100000,64159.99,64222.0,64159.99,64161.98,74.20896
1785384000000,64161.98,64180.0,64107.33,64145.01,220.74849
1785384900000,64145.0,64145.01,64089.99,64090.0,263.08957
1785385800000,64089.99,64160.1,64064.02,64110.01,313.05454
1785386700000,64110.0,64150.0,64008.5,64023.99,130.56613
1785387600000,64024.0,64037.99,63941.13,63973.0,312.12233
1785388500000,63972.99,64016.0,63907.85,64013.06,228.95006
1785389400000,64013.06,64182.0,63996.54,64122.38,109.35419
1785390300000,64122.39,64156.0,63993.2,64033.89,115.69675
1785391200000,64033.9,64076.0,63982.68,64000.0,115.74204
1785392100000,64000.01,64078.0,63966.95,64078.0,105.96701
1785393000000,64078.0,64080.0,63972.0,64007.41,107.62285
1785393900000,64007.4,64018.0,63957.2,64002.0,313.66676
1785394800000,64001.99,64144.0,64001.99,64057.83,101.58479
1785395700000,64057.83,64144.06,63993.25,64062.01,114.95472
1785396600000,64062.01,64066.01,63943.29,64041.5,259.51902
1785397500000,64041.5,64041.5,63984.0,64026.0,233.98989
1785398400000,64026.0,64066.0,63982.0,64003.99,286.79606
1785399300000,64003.99,64343.46,63980.54,64268.0,246.29369
1785400200000,64268.0,64348.0,64234.0,64348.0,254.26804
1785401100000,64347.99,64358.99,64290.56,64308.01,355.85647
1785402000000,64308.01,64415.4,64283.8,64410.51,881.8348
1785402900000,64410.52,64525.99,64390.99,64496.01,428.78456
1785403800000,64496.02,64641.37,64496.01,64589.99,578.15248
1785404700000,64589.99,64639.07,64567.55,64567.56,671.37639
1785405600000,64567.55,64625.0,64562.0,64568.52,111.56722
1785406500000,64568.52,64631.71,64568.51,64624.01,120.01995
1785407400000,64624.01,64631.99,64569.95,64610.01,139.5962
1785408300000,64610.0,64621.07,64570.72,64570.72,87.86125
1785409200000,64570.72,64625.0,64542.73,64605.93,148.04086
1785410100000,64605.92,64666.0,64566.0,64576.01,114.20136
1785411000000,64576.01,64710.8,64547.69,64664.32,140.25656
1785411900000,64664.32,64885.18,64654.0,64788.0,227.88986
1785412800000,64788.01,65027.25,64788.0,64984.98,309.42919
1785413700000,64984.97,65043.94,64864.0,64885.37,232.11325
1785414600000,64885.37,64948.44,64837.56,64838.01,183.07062
1785415500000,64838.01,64941.32,64838.0,64925.0,95.00899
1785416400000,64925.0,64958.23,64815.7,64839.27,119.123
1785417300000,64839.26,64878.51,64819.16,64830.0,97.88265
1785418200000,64829.99,65024.12,64689.02,65013.86,382.13216
1785419100000,65013.86,65176.6,64993.63,65022.01,574.05955
1785420000000,65022.0,65042.0,64717.83,64733.99,326.48929
1785420900000,64733.99,64854.0,64620.0,64780.01,395.7747
1785421800000,64780.01,64861.98,64734.1,64806.32,176.49957
1785422700000,64806.31,64845.99,64636.37,64683.97,167.03366
1785423600000,64683.97,64829.85,64607.31,64726.09,179.22982
1785424500000,64726.09,64888.0,64684.0,64686.21,214.34658
1785425400000,64686.21,64780.0,64640.31,64768.0,150.88608
1785426300000,64768.01,64798.0,64700.65,64730.3,134.05287
1785427200000,64730.29,64963.64,64729.56,64935.68,227.60498
1785428100000,64935.68,64950.0,64846.0,64885.39,137.53774
1785429000000,64885.4,64898.0,64770.0,64776.75,172.53435
1785429900000,64776.74,64850.53,64776.31,64818.01,77.56877
1785430800000,64818.01,64867.0,64772.0,64804.62,149.70527
1785431700000,64804.62,64962.83,64792.0,64944.96,112.89895
1785432600000,64944.96,64988.0,64819.16,64949.65,135.80582
1785433500000,64949.65,64950.03,64858.01,64872.0,54.05766
1785434400000,64871.99,64899.8,64820.01,64820.46,59.31564
1785435300000,64820.46,64820.47,64750.65,64799.03,76.99013
1785436200000,64799.02,64819.55,64714.09,64732.0,76.14541
1785437100000,64731.99,64732.0,64688.0,64702.8,51.53702
1785438000000,64702.8,64864.5,64702.79,64836.0,91.44022
1785438900000,64836.0,64904.0,64806.0,64888.5,83.41711
1785439800000,64888.5,64888.5,64826.25,64838.0,64.85429
1785440700000,64837.99,64862.0,64782.0,64800.0,117.17674
1785441600000,64800.0,64936.0,64785.28,64792.31,165.52295
1785442500000,64792.3,64874.0,64764.36,64794.05,45.61878
1785443400000,64794.06,64880.0,64752.12,64866.0,79.22597
1785444300000,64865.99,64888.6,64777.37,64777.37,40.05322
1785445200000,64777.38,64802.48,64735.39,64756.41,65.7118
1785446100000,64756.42,64760.0,64747.08,64748.59,29.50192
1785447000000,64748.59,64799.37,64740.54,64763.68,53.81759
1785447900000,64763.68,64775.74,64700.34,64735.53,78.72914
1785448800000,64735.53,64974.0,64668.91,64931.66,202.16188
1785449700000,64931.67,64996.9,64900.0,64994.4,74.569
1785450600000,64995.43,65029.29,64868.96,64912.01,139.43966
1785451500000,64912.0,64923.18,64838.7,64851.16,66.28694
1785452400000,64851.16,64940.0,64830.0,64939.99,48.12081
1785453300000,64939.99,64945.87,64898.73,64933.99,58.12328
1785454200000,64934.0,65086.4,64772.0,64815.97,238.03205
1785455100000,64815.97,64891.44,64740.0,64780.02,147.50256
1785456000000,64780.03,64901.55,64757.27,64819.75,82.78974
1785456900000,64819.75,64822.0,64728.47,64775.01,240.1786
1785457800000,64775.01,64821.78,64740.27,64794.98,235.15309
1785458700000,64794.98,64804.0,64690.29,64724.91,102.30947
1785459600000,64724.92,65409.56,64724.92,65189.32,563.95142
1785460500000,65189.32,65225.74,65026.8,65184.08,232.81466
1785461400000,65184.09,65184.09,64824.58,64824.61,183.98934
1785462300000,64824.61,64894.0,64480.44,64564.01,236.24734
1785463200000,64564.0,64614.0,64467.0,64484.93,142.84525
1785464100000,64484.93,64484.93,64350.0,64353.78,242.15649
1785465000000,64353.78,64417.66,64203.58,64230.56,293.69608
1785465900000,64230.55,64360.0,64218.83,64297.79,176.95994
1785466800000,64297.79,64297.79,64172.0,64258.0,137.77005
1785467700000,64258.0,64422.0,64219.06,64382.33,212.23356
1785468600000,64382.34,64416.0,64298.0,64385.31,85.80253
1785469500000,64385.31,64439.81,64341.02,64370.0,112.23949
1785470400000,64370.0,64438.0,64350.0,64370.01,154.22029
1785471300000,64370.26,64372.0,64236.0,64335.79,87.08885
1785472200000,64335.8,64369.75,64288.0,64307.99,67.45233
1785473100000,64307.99,64334.0,64293.81,64300.0,82.37284
1785474000000,64299.99,64420.0,64299.99,64415.71,163.27106
1785474900000,64415.72,64421.68,64330.0,64330.01,61.548
1785475800000,64330.01,64361.06,64293.82,64293.82,57.2877
1785476700000,64293.82,64380.05,64268.47,64363.06,247.29617
1785477600000,64363.06,64389.52,64324.22,64382.88,56.33717
1785478500000,64382.87,64458.89,64364.68,64458.89,113.41663
1785479400000,64458.88,64496.64,64274.0,64281.99,133.25275
1785480300000,64282.0,64282.0,64196.08,64231.97,200.76911
1785481200000,64231.97,64245.57,64017.84,64061.99,340.92179
1785482100000,64062.0,64096.75,64000.0,64000.0,673.68252
1785483000000,64000.01,64034.06,63878.11,63923.0,1696.21577
1785483900000,63923.01,64019.9,63923.0,63950.01,378.13643
1785484800000,63950.01,63970.56,63862.0,63945.57,253.5867
1785485700000,63945.57,63987.36,63865.09,63962.0,131.08576
1785486600000,63961.99,63961.99,63816.62,63850.05,146.83166
1785487500000,63850.05,63904.65,63784.67,63834.01,202.68306
1785488400000,63834.01,63847.13,63756.0,63804.84,193.4138
1785489300000,63804.83,63804.84,63694.73,63694.74,90.89596
1785490200000,63694.74,63728.38,63638.18,63692.0,182.91632
1785491100000,63692.0,63749.99,63680.01,63715.9,95.10418
1785492000000,63715.91,63743.85,63610.0,63734.21,98.562
